Timestamp,Full name of resource,Website URL,GitHub URL,Documentation URL,Logo URL,"Brief description (e.g, copy and paste their vision/purpose)",,Area of neuroscience (Select all that apply),Where does your data come from? (Select all that apply),Data Type (Select all that apply),"In the SEARCH/PLAN stage, you can use this to","In the DATA COLLECTION stage, you can use this to ","In the ANALYSIS stage, people can use this to ","In the WRITING and PUBLICATION stage, people can use this to ","For OUTREACH, people can use this resource to ",This resource falls under the category of ,Logo Filename
5/16/2023 11:57:00,McGill Dataverse,https://borealisdata.ca/dataverse/mcgill,,https://www.mcgill.ca/library/services/data-services/sharing/dataverse,https://borealisdata.ca/javax.faces.resource/images/dataverse-icon-1200.png.xhtml;jsessionid=74aad0e2eb618e09c85496ec12df,"The McGill University Dataverse is a research data repository for McGill faculty, students, and staff.",This resource is for researchers at McGill,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,"Find data, Store data, Share data",,"Share data, Use open licences, Make sure all research outputs are linked together and citable",,Open Data,dataverse.png
5/16/2023 12:01:39,DANDI Archive,https://dandiarchive.org/,https://github.com/dandi,https://www.dandiarchive.org/handbook/10_using_dandi/,https://www.dandiarchive.org/handbook/img/dandi-logo-square_sw.png,"DANDI Archive is a BRAIN Initiative archive for publishing and sharing neurophysiology data including electrophysiology, optophysiology, and behavioral time-series, and images from immunostaining experiments.",,"Behavioral neuroscience, Neurophysiology, Systems neuroscience","Non-human Primates, Mice","iEEG, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, Microscopy",Find open/shared datasets to re-use,"Find data, Share data",,"Share data, Use open licences, Make sure all research outputs are linked together and citable",,Open Data,dandi.png
5/16/2023 12:59:22,Open Science Framework,https://osf.io/,,,https://osf.io/ember_osf_web/assets/images/global/cos-white2-81217c82c094af6555e80a4015f23163.png,"OSF captures ""products of the research lifecycle, including developing a research idea, designing a study, storing and analyzing collected data, and writing and publishing reports or papers.""",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data","Pre-register hypotheses, methods, etc., Find open/shared datasets to re-use","Find data, Store data, Share data, Share and find lab protocols / notebooks",Find or share code,"Share preprints, Share postprints, Share data, Share code, Share methods/protocols, Publish more than just research reports (e.g., the code, text, figures all in one place), Make sure all research outputs are linked together and citable",Share posters and presentations,"Open Methods/Protocols, Open Publishing",osf.png
5/16/2023 13:37:37,Aperture Neuro,https://www.humanbrainmapping.org/i4a/pages/index.cfm?pageid=4100,,,https://www.humanbrainmapping.org/templates/1015/images/Aperture%20Neuro%20Logo.png,"""The purpose of Aperture Neuro is to enable a diverse approach to sharing and communicating high quality, community-based, open neuroscience while bringing transparency and interactivity to the publishing process.""",,"Developmental neuroscience, Cognitive neuroscience, Translational and Clinical neuroscience, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging",Humans,"MRI, PET, EEG, iEEG, MEG, Eye Tracking, Behavior, Clinical Data",,,,"Publish open access, Publish more than just research reports (e.g., the code, text, figures all in one place)",,Open Publishing,aperture.png
5/23/2023 10:22:38,Open Behavior,https://edspace.american.edu/openbehavior/,,,https://edspace.american.edu/openbehaviortest/wp-content/uploads/sites/1502/2020/01/OBLogo_white.png,"A repository of cutting edge, open source tools for advancing behavioral neuroscience research",This resource is for researchers at McGill,Behavioral neuroscience,"Humans, Non-human Primates, Mice, Rats, C.Elegans, Drosophila",Behavior,,"Collect data (hardware), Collect data (software), Present stimuli",Analyze data,,,"Open Methods/Protocols, Open Hardware",openbehavior.png
5/24/2023 15:53:02,OpenNeuro,https://openneuro.org/,,,https://openneuro.org/assets/on-light-horz.23ff22c3.svg,"""A free and open platform for validating and sharing BIDS-compliant MRI, PET, MEG, EEG, and iEEG data""",,"Developmental neuroscience, Cognitive neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neuroimaging","Humans, Non-human Primates, Mice, Rats, Birds, ","MRI, PET, EEG, iEEG, MEG, Eye Tracking, Behavior, Clinical Data",Find open/shared datasets to re-use,"Find data, Store data, Share data, Organize and track datasets",,Share data,,Open Data,openneuro.png
5/24/2023 15:56:37,DataLad,https://www.datalad.org/,https://github.com/datalad/datalad,https://handbook.datalad.org/en/latest/,t," Keep code, data, containers under control with git and git-annex ",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",,"Store data, Organize and track datasets",Track/Organize code,,,"Open Data, Open Code/Software",datalad.png
5/24/2023 16:07:15,Brain Imaging Data Structure (BIDS),https://bids.neuroimaging.io/,https://github.com/bids-standard,https://bids-specification.readthedocs.io/en/latest/,t,"""A simple and intuitive way to organize and describe your neuroimaging and behavioral data.""",,"Developmental neuroscience, Cognitive neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Sensory neuroscience, Neuroimaging","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, OMICS, Microscopy, Behavior, Clinical Data, Motion, NIRS, Physiology recordings",,Organize and track datasets,,Share data,,"Open Data, Open Code/Software",bids.png
5/24/2023 16:11:44,PsychoPy,https://www.psychopy.org/,https://github.com/psychopy/psychopy,https://psychopy.org/documentation.html,x,"""PsychoPy is a free cross-platform package allowing you to run a wide range of experiments in the behavioral sciences (neuroscience, psychology, psychophysics...)""",,"Developmental neuroscience, Cognitive neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Sensory neuroscience, Neuroimaging","Humans, Non-human Primates, Mice, Rats, Birds","MRI, PET, EEG, iEEG, MEG, Behavior",,"Collect data (software), Present stimuli",,,,"Open Methods/Protocols, Open Code/Software",psychopy.png
6/16/2023 15:41:28,Open Ephys,https://open-ephys.org/,,,https://images.squarespace-cdn.com/content/v1/53039db8e4b0649958e13c7b/1405442386313-95EO9WGSKQN23BPA1MYD/oe_logo_transparent.png?format=750w,A worker coop that develops and distributes open-source hardware tools for neuroscience. ,,"Developmental neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, Microscopy, Behavior",,Collect data (hardware),,,,Open Hardware,openephys.png
